Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Unnamed: 47;Unnamed: 48;Unnamed: 49;Unnamed: 50;Unnamed: 51;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61;Unnamed: 62;Unnamed: 63;Unnamed: 64;Unnamed: 65;Unnamed: 66;Unnamed: 67;Unnamed: 68;Unnamed: 69;Unnamed: 70;Unnamed: 71;Unnamed: 72;Unnamed: 73;Unnamed: 74;Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89;Unnamed: 90;Unnamed: 91;Unnamed: 92;"R$ milhões
"
;Demonstração do Resultado;1T/02;1S/02;9M/02;2002.0;1T/03;1S/03;9M/03;2003.0;1T/04;1S/04;9M/04;2004.0;1T/05;1S/05;9M/05;2005.0;1T/06;1S/06;9M/06;2006.0;1T/07;1S/07;9M/07;2007.0;1T/08;1S/08;9M/08;2008.0;1T/09;1S/09;9M/09;2009.0;1T/10;1S/10;9M/10;2010.0;1T/11;1S/11;9M/11;2011.0;1T/12;1S/12;9M/12;2012.0;1T/13;1S/13;9M/13;2013.0;1T/14;1S/14;9M/14;2014.0;1T/15;1S/15;9M/15;2015.0;1T/16;1S/16;9M/16;2016.0;1T/17;1S/17;9M/17;2017.0;1T/18;1S/18;9M/18;2018.0;1T/19;1S/19;9M/19;2019.0;1T/20;1S/20;9M/20;2020.0;1T/21;1S/21;9M/21;2021.0;1T/22;1S/22;9M/22;2022.0;1T/23;1S/23;9M/23;2023.0;1T/24;1S/24;9M/24;2024.0
;(+) Receita com Operações de Crédito e Repasses;2083;4820;14126;12289.0;3352;6627;9974;13221.0;3578;6614;10031;13405.0;3384;6771;10019;13842.0;3225;6339;9635;12967.0;3163;7058;10238;13695.0;3404;7208;11083;15273.0;4442;8784;13287;18600.0;5542;11390;17833;25332.0;7104;14250;21735;29907.0;8069;16811;24944;33661.0;8278;16962;25914;35234.0;9479;19281;29408;40617.0;11996;25083;39060;53876.0;14288;28365;42618;56950.0;12796;24694;36421;47811.0;10410;20727;30883;40938.0;9622;19748;28068;36051.0;8326;14656;22023;30943.0;9156;18009;27626;39247.0;10910;25079;34273;44038.0;12508;24828;35102;45856.0;12285;23949;35364;48406.0
;(+) Receita com Títulos e Valores Mobiliários 1/;608;477;2246;1986.0;652;1167;1869;2625.0;516;1264;2071;2365.0;1492;1581;2210;3426.0;678;1759;2698;3601.0;535;1192;1572;1845.0;329;927;1266;1804.0;1012;1980;3745;5087.0;1151;4033;5476;7653.0;1306;2661;4421;6184.0;2426;4547;7702;12686.0;1921;3294;5176;8926.0;2189;4423;6339;8632.0;2864;6668;8777;13398.0;5628;11883;18809;25843.0;4218;7963;11942;15024.0;2952;6886;9899;11832.0;3171;6402;9161;8501.0;2661;4012;5916;7012.0;2436;7934;10979;14276.0;4336;13134;17779;22071.0;689;3593;8164;10933.0;4045;8564;12365;18699.0
;( - ) Despesas de Captação;-2129;-4401;-14164;-10089.0;-3257;-6259;-9463;-12435.0;-3156;-6009;-9211;-12302.0;-2973;-6071;-9103;-12320.0;-2873;-6248;-9025;-11724.0;-2570;-5134;-7921;-10758.0;-2916;-6081;-9163;-13226.0;-4076;-8114;-12635;-17866.0;-5606;-12382;-18750;-25946.0;-7033;-14158;-21851;-29603.0;-8338;-17469;-25737;-34439.0;-7649;-15305;-23744;-32469.0;-8824;-17827;-26444;-35800.0;-10554;-21981;-32655;-47115.0;-14255;-28013;-42259;-56946.0;-12503;-24319;-35954;-47866.0;-10796;-21078;-30640;-40439.0;-9079;-18190;-25813;-34152.0;-6896;-11613;-17000;-25140.0;-7180;-14906;-23176;-33640.0;-10316;-23542;-32471;-40937.0;-10942;-22103;-30664;-39302.0;-10325;-20453;-30489;-41914.0
;Produto da Intermediação Financeira;562;896;2208;4186.0;747;1535;2380;3411.0;938;1869;2891;3468.0;1903;2281;3126;4948.0;1030;1850;3308;4844.0;1128;3116;3889;4782.0;817;2054;3186;3851.0;1378;2650;4397;5821.0;1087;3041;4559;7039.0;1377;2753;4305;6488.0;2157;3889;6909;11908.0;2550;4951;7346;11691.0;2844;5877;9303;13449.0;4306;9770;15182;20159.0;5661;12235;19168;25847.0;4511;8338;12409;14969.0;2566;6535;10142;12331.0;3714;7960;11416;10400.0;4090.999999999999;7055;10939;12815.0;4412;11037;15429;19883.0;4930;14671;19581;25172.0;2255;6318;12602;17487.0;6005;12060;17240;25191.0
;(+/-) Provisão para Risco de Crédito (PRC);-197;-569;-1283;-2641.0;-930;-3702;-4069;-1880.0;-504;-695;-672;-1638.0;25;200;186;-845.0;112;350;1096;1052.0;353;1248;2826;1383.0;54;415;561;445.0;-268;-1059;191;-6.0;-100;2101;1860;2852.0;395;853;1615;717.0;-31;-320;-417;-330.0;155;75;225;769.0;207;121;189;-65.0;-393;-480;-667;-1468.0;-871;-4438;-7008;-9156.0;-3316;-4769;-5637;-6702.0;361;-81;-1681;-5898.0;1084;1161;318;348.0;-1701;-2271;-1801;-946.0;432;1044;1743;2719.0;259;2105;1587;2182.0;2826;3573;3831;5627.0;777;1723;3112;3391.0
;Resultado da Intermediação Financeira;365;327;925;1545.0;-183;-2167;-1689;1531.0;434;1174;2219;1830.0;1928;2481;3312;4103.0;1142;2200;4404;5896.0;1481;4364;6715;6165.0;871;2469;3747;4296.0;1110;1591;4588;5815.0;987;5142;6419;9891.0;1772;3606;5920;7205.0;2126;3569;6492;11578.0;2705;5026;7571;12460.0;3051;5998;9492;13384.0;3913;9290;14515;18691.0;4790;7797;12160;16691.0;1195;3569;6772;8267.0;2927;6454;8461;6433.0;4798;9121;11734;10748.0;2389.999999999999;4784;9138;11869.0;4844;12081;17172;22602.0;5189;16776;21168;27354.0;5081;9891;16433;23114.0;6782;13783;20352;28582.0
;(+) Resultado com Participações Societárias;199;838;1076;1394.0;173;274;620;1152.0;416;429;885;1516.0;409;846;1226;2572.0;981;2580;3143;3521.0;1017;2260;3582;6104.0;311;4786;5871;6024.0;148;1324;2486;3990.0;1013;2252;3546;6158.0;1676;4562;5400;6962.0;657;2027;2578;2643.0;720;1779;1850;2452.0;353;3703;4263;2865.0;-373;105;-1186;-5407.0;-22;-4924;-4103;-3431.0;1087;1418;2889;5130.0;1511;4102;5762;9857.0;12474;13469;14738;16258.0;8473;7368;16455;25041.0;11670;14041;23954;30556.0;14851;21025;28960;33298.0;2331;5829.66;7511;9114.0;1538;4975.25;7501;11232.0
;(+) Receita de dividendos e juros sobre o capital próprio;45;233;277;515.0;232;363;397;733.0;340;514;583;1014.0;258;608;722;1077.0;369;1025;1187;1751.0;104;578;900;1388.0;147;777;943;2058.0;359;1121;1640;2426.0;277;1154;1574;2304.0;511;2067;2963;4169.0;65;1725;1970;2765.0;78;1999;2198;2781.0;80;2634;2716;3273.0;31;338;369;612.0;9;256;378;562.0;32;577;628;926.0;215;480;1222;2500.0;11;698;1096;1886.0;917;946;1884;2167.0;742;2045;4120;7787.0;3188;7932;14929;19178.0;2409;5534;6996;8547.0;1169;4338;6568;10407.0
;(+/-) Resultado com equivalência patrimonial;135;141;42;-141.0;-48;37;334;275.0;60;-36;75;319.0;69;187;397;412.0;20;235;529;679.0;224;394;896;1102.0;-101;-64;378;6.0;97;438;754;778.0;-20;191;-194;439.0;262;713;1217;1213.0;-75;-186;-123;-143.0;-76;-102;-397;-51.0;-87;342;567;765.0;259;218;808;1310.0;119;-198;563;858.0;271;70;615;290.0;123;-53;184;486.0;1052;979;1607;1806.0;-69;-1289;9;420.0;1021;1418;3172;4277.0;653;660;722;770.0;-6;27;33;52.0;81;76;252;252.0
;(+/-) Reversão (constituição) de provisão para ajuste de investimentos ;0;5;-5;-9.0;3;-87;-93;-296.0;22;-62;-93;-142.0;-11;-51;-76;-393.0;-15;-18;-187;-280.0;-29;0;46;-8.0;37;36;37;-678.0;-308;-307;-310;-374.0;0;-104;-104;-144.0;-1;-130;-124;-126.0;-179;-175;-216;-1093.0;9;-795;-1168;-2045.0;-123;-336;-516;-2814.0;-599;-1155;-3310;-9736.0;-361;-5150;-5270;-5317.0;-246;-377;-635;-628.0;55;467;467;460.0;0;0;4;-358.0;-2;-367;-360;-632.0;-7;-12;5451;5272.0;-26;-27;-27;-32.0;-3;-3;-2;-3.0;0;-37;-39;-42.0
;(+/-) Resultado com alienações de títulos de renda variável;19;459;762;1049.0;0;-10;25;815.0;0;24;342;349.0;99;113;204;1511.0;613;1350;1650;1502.0;744;1340;1820;3730.0;228;4036;4513;4614.0;0;72;402;1159.0;756;716;2270;3238.0;734;1582;1592;1731.0;367;774;1128;1718.0;159;291;916;1235.0;-23;289;448;1721.0;316;974;1418;1629.0;446;619;623;896.0;651;729;1663;3675.0;860;3008;3650;6171.0;10157;10392;10656;11354.0;8099;8030;15067;22683.0;10586;11082;11118;12758.0;1864;3552;3553;3589.0;0;1;149;161.0;9;32;87;106.0
;(+/-) Resultado com instrumentos financeiros derivativos - renda variável;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;;0;;0.0;0;0;0;0.0;0;0;0;0.0;0;295;0;351.0;170;330;-248;-23.0;479;-168;-247;-548.0;337;187;-61;73.0;425;657;896;-181.0;-317;-259;-430;-295.0;-166;-641;-513;-459.0;2;-32;137;331.0;324;209;259;291.0;-203;-53;-107;82.0;-579;-151;-410;364.0;-249;-54;-132;-151.0;139;-189;560;560.0;-147;-147;-148;-148.0;0;1;0;0.0
;(+/-) Resultado com fundos de investimento em participações societárias;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0;;0;;0.0;0;0;0;0.0;0;0;0;0.0;0;0;;0.0;;0;0;0.0;0;0;0;0.0;104;76;239;325.0;81;117;152;102.0;-63;-47;-79;-123.0;-69;-76;-126;-147.0;114;150;216;284.0;-50;47;51;195.0;7;-20;21;55.0;115;212;282;419.0;-216;-127;410;530.0;62;38;168;184.0;83;427;496;525.0;284;452;523;404.0
;(+/-) Outras rendas (despesas) sobre participações societárias;0;0;0;-20.0;-14;-29;-43;-375.0;-6;-11;-22;-24.0;-6;-11;-21;-35.0;-6;-12;-36;-131.0;-26;-52;-80;-108.0;;1;0;24.0;0;0;0;1.0;0;0;;-30.0;;0;0;-2.0;0;57;66;-56.0;109;123;123;134.0;;0;0;-1.0;0;36;38;1196.0;0;266;242;176.0;263;301;265;252.0;-16;-56;-71;-246.0;1450;1473;1461;1433.0;-8;-13;-17;-380.0;-207;-311;-185;83.0;8971;9059;9055;9049.0;-5;-9.340000000000146;-13;-20.0;-5;113.25;110;105.0
;( - ) Despesas de Pessoal;-72;-147;-222;-347.0;-99;-198;-305;-450.0;-120;-224;-349;-676.0;-100;-223;-372;-535.0;-130;-255;-385;-554.0;-127;-260;-397;-573.0;-202;-383;-511;-724.0;-203;-388;-567;-919.0;-200;-444;-642;-977.0;-181;-431;-686;-1030.0;-275;-544;-826;-1178.0;-343;-650;-982;-1261.0;-344;-681;-1019;-1376.0;-309;-752;-1125;-1605.0;-381;-795;-1202;-1695.0;-407;-887;-1351;-1792.0;-463;-873;-1337;-1807.0;-474;-1022;-1502;-1980.0;-492;-970;-1505;-1990.0;-489;-957;-1502;-2056.0;-561;-1125;-1674;-2329.0;-608;-1158;-1761;-2432.0;-675;-1334;-1981;-2712.0
;( - ) Despesas Administrativas;-25;-49;-79;-108.0;-25;-50;-79;-112.0;-25;-55;-87;-120.0;-24;-54;-122;-166.0;-27;-61;-100;-147.0;-28;-61;-97;-162.0;-36;-80;-124;-206.0;-43;-102;-176;-274.0;-45;-108;-197;-307.0;-101;-195;-322;-463.0;-90;-208;-328;-460.0;-95;-200;-334;-452.0;-134;-230;-370;-501.0;-129;-242;-377;-508.0;-144;-283;-399;-525.0;-99;-216;-311;-439.0;-109;-206;-302;-442.0;-108;-192;-285;-390.0;-78;-143;-214;-284.0;-71;-150;-229;-351.0;-76;-168;-247;-331.0;-111;-196;-278;-426.0;-107;-203;-300;-459.0
;( - ) Despesas Tributárias;-42;-101;-208;-321.0;-56;-115;-178;-314.0;-81;-149;-262;-339.0;-111;-211;-284;-661.0;-113;-213;-342;-515.0;-84;-211;-298;-495.0;-96;-198;-298;-455.0;-84;-185;-393;-547.0;-78;-256;-374;-592.0;-143;-308;-453;-653.0;-105;-305;-456;-744.0;-162;-437;-582;-880.0;-172;-504;-704;-968.0;-258;-527;-883;-1167.0;-255;-578;-917;-1264.0;-211;-462;-700;-984.0;-194;-499;-779;-1111.0;-362;-604;-835;-1047.0;-342;-509;-1086;-1660.0;-907;-1343;-1634;-1984.0;-303;-790;-1091;-1458.0;-245;-536.48;-932;-1221.0;-332;-773.36;-1119;-1650.0
;(+/-) Outras Despesas, líquidas;-19;-66;-220;-194.0;47;373;372;139.0;-47;-40;-18;-334.0;90;-260;-320;-467.0;121;286;667;320.0;-54;-117;-194;-993.0;-705;-881;-1616;-1599.0;-83;-684;-1454;993.0;7;-38;10;185.0;-27;-1;51;43.0;-166;-125;-592;-694.0;-67;-103;-128;-124.0;-149;-227;-409;-178.0;334;-107;39;-236.0;-232;-248;-514;-774.0;-205;-272;-302;-457.0;108;148;97;-926.0;-41;-92;-327;-313.0;-103;-680;-711;-1157.0;-60;-194;-351;-645.0;-191;-1338;-1469;-1971.0;-523;-506.1500000000001;-635;-1375.0;-424;-944.2200000000003;-1631;-4065.0
;Resultado antes da Tributação ;406;802;1272;1969.0;-143;-1883;-1259;1946.0;577;1135;2388;1877.0;2192;2579;3440;4846.0;1974;4537;7387;8521.0;2205;5975;9311;10046.0;143;5713;7069;7336.0;845;1556;4484;9058.0;1684;6548;8762;14358.0;2996;7233;9910;12064.0;2147;4414;6868;11145.0;2758;5415;7395;12195.0;2605;8059;11253;13226.0;3178;7767;10983;9768.0;3756;969;5025;9002.0;1360;3150;6997;9725.0;3780;9126;11902;12004.0;16287;20680;23523;23277.0;9848;9850;22077;31819.0;14987;23478;37410;48122.0;18909;34380;45648;54563.0;5925;13324.03;20338;26774.0;6782;15503.669999999998;22822;30928.0
;( - ) Tributos sobre o lucro;-112;-226;-646;-1390.0;-227;-518;-687;-867.0;522;272;-137;-316.0;-782;-748;-973;-1582.0;-578;-1220;-1671;-2115.0;-657;-1545;-2027;-2663.0;6;-1582;-1950;-1969.0;-428;-854;-1421;-2237.0;-768;-2284;-3285;-4286.0;-807;-1954;-2044;-2896.0;-885;-1705;-2146;-2874.0;-1173;-2154;-2509;-3871.0;-1050;-2588;-3854;-4391.0;-1593;-4252;-4344;-3271.0;-2158;-3143;-786;-2375.0;-987;-1805;-3795;-3206.0;-1716;-4366;-5539;-5204.0;-5209;-6872;-7013;-5374.0;-4304;-4888;-8389;-10888.0;-5179;-8362;-11039;-13799.0;-6007;-9764;-11446;-12543.0;-1962;-3821.3;-5890;-4580.0;-1545;-2169.3599999999997;-3838;-4209.0
;( - ) Participação nos lucros;;0;;-29.0;0;0;0;-41.0;0;0;0;-63.0;0;0;0;-62.0;0;0;0;-75.0;0;0;0;-69.0;0;0;0;-54.0;0;0;0;-86.0;0;0;0;-159.0;0;0;0;-120.0;0;0;0;-145.0;0;0;0;-174.0;0;0;0;-241.0;0;0;0;-298.0;0;0;0;-235.0;0;0;0;-336.0;0;0;0;-89.0;0;0;0;-181.0;0;0;0;-250.0;0;0;0;-254.0;0;0;0;-277.0;0;0;0;-291.0;0;0;0;-331.0
;Lucro Líquido;294;576;626;550.0;-370;-2401;-1946;1038.0;1099;1407;2251;1498.0;1410;1831;2467;3202.0;1396;3317;5716;6331.0;1548;4430;7284;7314.0;149;4131;5119;5313.0;417;702;3063;6735.0;916;4264;5477;9913.0;2189;5279;7866;9048.0;1262;2709;4722;8126.0;1585;3261;4886;8150.0;1555;5471;7399;8594.0;1585;3515;6639;6199.0;1598;-2174;4239;6392.0;373;1345;3202;6183.0;2064;4760;6363;6711.0;11078;13808;16510;17721.0;5544;4962;13688;20681.0;9808;15116;26371;34069.0;12902;24616;34202;41743.0;3963;9502.73;14448;21903.0;5237;13335.309999999998;18984;26388.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1/ Inclui efeitos cambiais e resultado com derivativos. Até 2015 o resultado com derivativos em moeda nacional era apresentado na linha de Despesas de Captação.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
